/home/poddingue/fan/temperature-pwm.py:20: RuntimeWarning: This channel is already in use, continuing anyway.  Use GPIO.setwarnings(False) to disable warnings.
  GPIO.setup(FAN_PIN, GPIO.OUT, initial=GPIO.LOW)
Current CPU temperature: 35.4°C
Desired fan speed: 8.9%
Fan speed: 13%
Current CPU temperature: 34.862°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.938°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 34.862°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Fan ctrl interrupted by keyboard
Current CPU temperature: 35.4°C
Desired fan speed: 8.9%
Fan speed: 13%
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 34.862°C
Current CPU temperature: 35.4°C
Current CPU temperature: 34.862°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 34.862°C
Current CPU temperature: 35.4°C
Current CPU temperature: 34.862°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 34.862°C
Current CPU temperature: 34.862°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 34.862°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.938°C
Current CPU temperature: 35.4°C
Current CPU temperature: 34.862°C
Current CPU temperature: 34.862°C
Current CPU temperature: 35.4°C
Current CPU temperature: 34.324°C
Desired fan speed: 6.1%
Current CPU temperature: 35.4°C
Desired fan speed: 8.9%
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 34.862°C
Current CPU temperature: 35.4°C
Current CPU temperature: 34.862°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Current CPU temperature: 35.4°C
Fan ctrl interrupted by keyboard
/home/poddingue/fan/temperature-pwm.py:20: RuntimeWarning: This channel is already in use, continuing anyway.  Use GPIO.setwarnings(False) to disable warnings.
  GPIO.setup(FAN_PIN, GPIO.OUT, initial=GPIO.LOW)
Current CPU temperature: 37.014°C
Desired fan speed: 13.2%
Fan speed: 13.2%
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 35.938°C
Desired fan speed: 10.4%
Fan speed: 13%
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Desired fan speed: 13.2%
Fan speed: 13.2%
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.552°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.552°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 38.628°C
Desired fan speed: 17.4%
Fan speed: 17.4%
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 36.476°C
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.552°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.552°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.552°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.552°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.552°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.014°C
Current CPU temperature: 36.476°C
Current CPU temperature: 37.552°C
Desired fan speed: 14.6%
Fan speed: 14.6%
Current CPU temperature: 37.552°C
Current CPU temperature: 36.476°C
Desired fan speed: 11.8%
Fan speed: 13%
Current CPU temperature: 37.014°C
/home/poddingue/fan/temperature-pwm.py:20: RuntimeWarning: This channel is already in use, continuing anyway.  Use GPIO.setwarnings(False) to disable warnings.
  GPIO.setup(FAN_PIN, GPIO.OUT, initial=GPIO.LOW)
Current CPU temperature: 42.394°C
Desired fan speed: 27.4%
Fan speed: 27.4%
Current CPU temperature: 41.856°C
Current CPU temperature: 41.856°C
Current CPU temperature: 41.856°C
Current CPU temperature: 42.394°C
Current CPU temperature: 42.394°C
Current CPU temperature: 42.932°C
Current CPU temperature: 42.394°C
Current CPU temperature: 42.932°C
Current CPU temperature: 42.932°C
Current CPU temperature: 41.856°C
Current CPU temperature: 42.394°C
Current CPU temperature: 42.932°C
Current CPU temperature: 42.932°C
Current CPU temperature: 42.932°C
Current CPU temperature: 42.932°C
Current CPU temperature: 44.008°C
Desired fan speed: 31.6%
Fan speed: 31.6%
Current CPU temperature: 42.932°C
Desired fan speed: 28.8%
Fan speed: 28.8%
Current CPU temperature: 44.008°C
Desired fan speed: 31.6%
Fan speed: 31.6%
Current CPU temperature: 44.008°C
Current CPU temperature: 44.008°C
Current CPU temperature: 44.008°C
Current CPU temperature: 44.008°C
Current CPU temperature: 44.008°C
Current CPU temperature: 44.546°C
Current CPU temperature: 44.008°C
Current CPU temperature: 44.546°C
Current CPU temperature: 44.008°C
Current CPU temperature: 45.084°C
Desired fan speed: 34.4%
Fan speed: 34.4%
Current CPU temperature: 44.008°C
Desired fan speed: 31.6%
Fan speed: 31.6%
Current CPU temperature: 45.084°C
Desired fan speed: 34.4%
Fan speed: 34.4%
Current CPU temperature: 45.084°C
Current CPU temperature: 44.008°C
Desired fan speed: 31.6%
Fan speed: 31.6%
Current CPU temperature: 44.546°C
Current CPU temperature: 45.084°C
Desired fan speed: 34.4%
Fan speed: 34.4%
Current CPU temperature: 44.546°C
Current CPU temperature: 45.084°C
Current CPU temperature: 45.084°C
Current CPU temperature: 44.546°C
Current CPU temperature: 44.008°C
Desired fan speed: 31.6%
Fan speed: 31.6%
Current CPU temperature: 44.008°C
Current CPU temperature: 44.546°C
Current CPU temperature: 45.084°C
Desired fan speed: 34.4%
Fan speed: 34.4%
Current CPU temperature: 44.008°C
Desired fan speed: 31.6%
Fan speed: 31.6%
Current CPU temperature: 44.546°C
Current CPU temperature: 45.084°C
Desired fan speed: 34.4%
Fan speed: 34.4%
Current CPU temperature: 45.084°C
Current CPU temperature: 45.084°C
Current CPU temperature: 45.084°C
Current CPU temperature: 45.084°C
Current CPU temperature: 45.084°C
Current CPU temperature: 45.084°C
Current CPU temperature: 45.084°C
Current CPU temperature: 45.084°C
Current CPU temperature: 45.084°C
Current CPU temperature: 45.084°C
Current CPU temperature: 45.084°C
Current CPU temperature: 45.084°C
Current CPU temperature: 45.084°C
Current CPU temperature: 45.084°C
Current CPU temperature: 45.622°C
Current CPU temperature: 45.084°C
Current CPU temperature: 45.084°C
Current CPU temperature: 44.546°C
Current CPU temperature: 44.008°C
Desired fan speed: 31.6%
Fan speed: 31.6%
Current CPU temperature: 44.008°C
Current CPU temperature: 44.008°C
Current CPU temperature: 43.47°C
Current CPU temperature: 42.932°C
Desired fan speed: 28.8%
Fan speed: 28.8%
Current CPU temperature: 42.932°C
Current CPU temperature: 43.47°C
Current CPU temperature: 43.47°C
Current CPU temperature: 42.932°C
Current CPU temperature: 42.932°C
Current CPU temperature: 42.932°C
Current CPU temperature: 42.932°C
Current CPU temperature: 42.394°C
Current CPU temperature: 42.394°C
Current CPU temperature: 42.932°C
Current CPU temperature: 41.856°C
Desired fan speed: 25.9%
Fan speed: 25.9%
Current CPU temperature: 42.394°C
Current CPU temperature: 41.856°C
Current CPU temperature: 42.932°C
Desired fan speed: 28.8%
Fan speed: 28.8%
Current CPU temperature: 41.856°C
Desired fan speed: 25.9%
Fan speed: 25.9%
Current CPU temperature: 42.932°C
Desired fan speed: 28.8%
Fan speed: 28.8%
Current CPU temperature: 42.394°C
Current CPU temperature: 41.856°C
Desired fan speed: 25.9%
Fan speed: 25.9%
Current CPU temperature: 41.856°C
Current CPU temperature: 41.856°C
Current CPU temperature: 41.856°C
Current CPU temperature: 41.856°C
Current CPU temperature: 41.856°C
Current CPU temperature: 41.856°C
Current CPU temperature: 41.856°C
Current CPU temperature: 41.856°C
Current CPU temperature: 41.856°C
Current CPU temperature: 41.856°C
Current CPU temperature: 41.856°C
Current CPU temperature: 41.856°C
Current CPU temperature: 41.856°C
Current CPU temperature: 41.856°C
Current CPU temperature: 41.318°C
Current CPU temperature: 41.318°C
Current CPU temperature: 40.78°C
Desired fan speed: 23.1%
Fan speed: 23.1%
Current CPU temperature: 41.856°C
Desired fan speed: 25.9%
Fan speed: 25.9%
